bpo_id,activityID,material_id,materials_quantity,product_id,product_quantity
32773,1,35,1327,32772,1
32773,1,36,481,32772,1
32773,1,37,113,32772,1
32775,1,34,1327,32774,1
32775,1,35,481,32774,1
32775,1,36,113,32774,1
32781,1,37,1327,32780,1
32781,1,38,481,32780,1
32781,1,39,228,32780,1
32783,1,34,64,32782,100
32783,1,36,7,32782,100
32789,1,34,21071,32788,1
32789,1,35,9382,32788,1
32789,1,36,3127,32788,1
32789,1,37,590,32788,1
32789,1,38,2,32788,1
32789,1,39,4,32788,1
32789,1,40,4,32788,1
32791,1,11552,556,32790,1
32791,1,34,16209,32790,1
32791,1,35,6872,32790,1
32791,1,36,17901,32790,1
32791,1,11558,111,32790,1
32791,1,38,3020,32790,1
32791,1,39,496,32790,1
32791,1,40,28,32790,1
32791,1,11399,67,32790,1
32791,1,11533,56,32790,1
32791,1,11534,194,32790,1
32791,1,3828,56,32790,1
32791,1,11544,1667,32790,1
32791,1,11540,1333,32790,1
32791,1,11550,17,32790,1
32800,1,32799,1,32799,1
32802,1,32801,1,32801,1
32804,1,32803,1,32803,1
32810,1,34,666,32809,1
32810,1,35,502,32809,1
32810,1,36,1,32809,1
32810,1,37,1,32809,1
32812,1,34,45636,32811,1
32812,1,35,11911,32811,1
32812,1,36,4932,32811,1
32812,1,37,709,32811,1
32812,1,38,221,32811,1
32812,1,39,54,32811,1
32812,1,40,16,32811,1
32818,1,25592,9,32817,1
32818,1,25601,18,32817,1
32818,1,25604,13,32817,1
32818,1,25598,22,32817,1
32820,1,25593,9,32819,1
32820,1,25604,13,32819,1
32820,1,25598,22,32819,1
32820,1,25601,18,32819,1
32839,1,34,8889,18626,1
32839,1,35,667,18626,1
32839,1,36,222,18626,1
32839,1,37,111,18626,1
32841,1,34,1,32840,1
32843,1,34,1,32842,1
32845,1,34,1,32844,1
32847,1,34,1,32846,1
32849,1,34,1,32848,1
32854,1,34,11111,18635,1
32854,1,35,889,18635,1
32854,1,36,444,18635,1
32854,1,37,222,18635,1
32855,1,34,15556,18637,1
32855,1,35,1111,18637,1
32855,1,36,667,18637,1
32855,1,37,444,18637,1
32858,1,34,556,17366,1
32858,1,35,556,17366,1
32858,1,36,167,17366,1
32859,1,34,222,3297,1
32859,1,35,222,3297,1
32860,1,34,1111,3293,1
32860,1,35,444,3293,1
32861,1,34,2222,3296,1
32861,1,35,1111,3296,1
32862,1,34,16667,24445,1
32862,1,35,11111,24445,1
32863,1,34,35556,11489,1
32863,1,39,72,11489,1
32864,1,34,17778,11488,1
32864,1,39,36,11488,1
32865,1,34,4444,3465,1
32865,1,39,36,3465,1
32866,1,34,2222,3466,1
32866,1,39,18,3466,1
32867,1,34,944,3467,1
32867,1,39,4,3467,1
32868,1,40,44,17363,1
32868,1,34,2222,17363,1
32868,1,38,22,17363,1
32869,1,40,112,17364,1
32869,1,34,6667,17364,1
32869,1,38,56,17364,1
32870,1,40,222,17365,1
32870,1,34,13333,17365,1
32870,1,38,111,17365,1
32871,1,34,16667,17367,1
32871,1,35,5556,17367,1
32871,1,36,556,17367,1
32873,1,40,6,32872,1
32873,1,39,60,32872,1
32873,1,38,210,32872,1
32873,1,37,900,32872,1
32873,1,36,8100,32872,1
32873,1,35,17100,32872,1
32873,1,34,63000,32872,1
32875,1,39,92,32874,1
32875,1,38,240,32874,1
32875,1,37,1080,32874,1
32875,1,36,7800,32874,1
32875,1,35,16500,32874,1
32875,1,34,61500,32874,1
32877,1,38,7,32876,1
32877,1,39,14,32876,1
32877,1,40,14,32876,1
32877,1,37,1590,32876,1
32877,1,36,8400,32876,1
32877,1,35,24000,32876,1
32877,1,34,57000,32876,1
32879,1,40,6,32878,1
32879,1,39,92,32878,1
32879,1,38,360,32878,1
32879,1,37,960,32878,1
32879,1,36,6000,32878,1
32879,1,35,16800,32878,1
32879,1,34,61500,32878,1
32881,1,39,22,32880,1
32881,1,38,50,32880,1
32881,1,37,444,32880,1
32881,1,36,744,32880,1
32881,1,35,7444,32880,1
32881,1,34,24889,32880,1
32982,1,40,8,32787,1
32982,1,34,232,32787,1
32982,1,37,12,32787,1
32982,1,38,33,32787,1
32984,1,34,1,32983,1
32986,1,34,1,32985,1
32988,1,34,13840,32987,1
32988,1,35,987,32987,1
32988,1,36,666,32987,1
32988,1,37,58,32987,1
32988,1,39,14,32987,1
32988,1,40,4,32987,1
32990,1,34,1,32989,1
33004,1,34,33333,33003,1
33004,1,35,22222,33003,1
33006,1,34,11111,33005,1
33006,1,35,6667,33005,1
33008,1,34,5556,33007,1
33008,1,35,5556,33007,1
33010,1,34,2222,33009,1
33010,1,35,2222,33009,1
33012,1,34,1111,33011,1
33012,1,35,1111,33011,1
33067,1,34,28,33017,1
33067,1,35,16,33017,1
33067,1,36,20,33017,1
33067,1,37,24,33017,1
33067,1,38,17,33017,1
33067,1,39,36,33017,1
33067,1,40,12,33017,1
33067,1,16649,8,33017,1
33067,1,27274,23,33017,1
33067,1,11399,8,33017,1
33067,1,30252,10,33017,1
33067,1,16642,23,33017,1
33067,1,16653,24,33017,1
33067,1,4051,16,33017,1
33067,1,2871,16,33017,1
33067,1,4312,6,33017,1
33067,1,16275,1,33017,1
33067,1,16637,17,33017,1
33067,1,16638,6,33017,1
33077,1,40,4,33076,1
33077,1,34,858,33076,1
33077,1,35,288,33076,1
33088,1,40,8,33087,1
33088,1,25335,13,33087,1
33102,1,34,2271,33101,1
33102,1,35,1063,33101,1
33102,1,36,906,33101,1
33102,1,37,1,33101,1
33102,1,38,4,33101,1
33104,1,34,4662,33103,1
33104,1,35,1857,33103,1
33104,1,36,1027,33103,1
33104,1,37,44,33103,1
33104,1,38,51,33103,1
33112,1,40,8,33111,1
33112,1,25335,13,33111,1
33150,1,34,333333,33149,1
33150,1,38,667,33149,1
33150,1,40,334,33149,1
33150,1,2870,3,33149,1
33150,1,2872,3,33149,1
33150,1,2875,3,33149,1
33152,1,34,2116031,33151,1
33152,1,35,467988,33151,1
33152,1,36,168358,33151,1
33152,1,38,9933,33151,1
33152,1,39,3662,33151,1
33152,1,40,1904,33151,1
33154,1,34,2715902,33153,1
33154,1,35,680078,33153,1
33154,1,36,187383,33153,1
33154,1,37,19408,33153,1
33154,1,38,13738,33153,1
33154,1,39,8006,33153,1
33154,1,40,1864,33153,1
33156,1,34,3882040,33155,1
33156,1,35,830223,33155,1
33156,1,36,205556,33155,1
33156,1,37,33333,33155,1
33156,1,39,6564,33155,1
33156,1,40,2600,33155,1
33158,1,34,2922244,33157,1
33158,1,35,729003,33157,1
33158,1,36,176119,33157,1
33158,1,37,52166,33157,1
33158,1,39,6328,33157,1
33158,1,40,2462,33157,1
33177,1,34,7252,33176,1
33177,1,35,104,33176,1
33177,1,36,3,33176,1
33177,1,37,8,33176,1
33177,1,38,1,33176,1
33177,1,11399,2,33176,1
33179,1,34,7252,33178,1
33179,1,35,104,33178,1
33179,1,36,3,33178,1
33179,1,37,8,33178,1
33179,1,38,1,33178,1
33179,1,11399,2,33178,1
33181,1,34,7252,33180,1
33181,1,35,104,33180,1
33181,1,36,3,33180,1
33181,1,37,8,33180,1
33181,1,38,1,33180,1
33181,1,11399,2,33180,1
33191,1,34,13840,33190,1
33191,1,35,987,33190,1
